,Entity,Code,Year,Share - Question: mh8c - Talked to friends or family when anxious/depressed - Answer: Yes - Gender: all - Age group: all
0,Africa,,2020,79.290146
1,Albania,ALB,2020,86.524994
2,Argentina,ARG,2020,71.9629
3,Asia,,2020,77.5206
4,Australia,AUS,2020,83.661896
5,Austria,AUT,2020,87.92614
6,Bahrain,BHR,2020,79.08222
7,Bangladesh,BGD,2020,65.628235
8,Belgium,BEL,2020,76.020325
9,Benin,BEN,2020,87.50481
10,Bolivia,BOL,2020,81.56846
11,Bosnia and Herzegovina,BIH,2020,89.42567
12,Brazil,BRA,2020,71.42405
13,Bulgaria,BGR,2020,85.093575
14,Burkina Faso,BFA,2020,81.40154
15,Cameroon,CMR,2020,86.43171
16,Canada,CAN,2020,84.21834
17,Chile,CHL,2020,84.13164
18,China,CHN,2020,63.353428
19,Colombia,COL,2020,85.64458
20,Congo,COG,2020,79.193275
21,Costa Rica,CRI,2020,75.73848
22,Cote d'Ivoire,CIV,2020,81.8161
23,Croatia,HRV,2020,87.80805
24,Cyprus,CYP,2020,78.24367
25,Czechia,CZE,2020,78.785194
26,Denmark,DNK,2020,76.89948
27,Dominican Republic,DOM,2020,89.972916
28,Ecuador,ECU,2020,87.61079
29,Egypt,EGY,2020,72.08198
30,El Salvador,SLV,2020,83.997345
31,Estonia,EST,2020,74.37608
32,Ethiopia,ETH,2020,72.80364
33,Europe,,2020,77.74236
34,Finland,FIN,2020,85.083595
35,France,FRA,2020,71.624275
36,Gabon,GAB,2020,82.5198
37,Georgia,GEO,2020,85.06311
38,Germany,DEU,2020,87.444565
39,Ghana,GHA,2020,67.62067
40,Greece,GRC,2020,77.88381
41,Guinea,GIN,2020,79.842705
42,High-income countries,,2020,79.206436
43,Hong Kong,HKG,2020,71.51011
44,Hungary,HUN,2020,70.5068
45,India,IND,2020,82.82279
46,Indonesia,IDN,2020,84.52044
47,Iran,IRN,2020,79.12761
48,Iraq,IRQ,2020,76.73829
49,Ireland,IRL,2020,82.88917
50,Italy,ITA,2020,85.10426
51,Jordan,JOR,2020,67.017586
52,Kazakhstan,KAZ,2020,70.82149
53,Kenya,KEN,2020,87.82827
54,Kosovo,OWID_KOS,2020,76.02753
55,Kyrgyzstan,KGZ,2020,65.83268
56,Laos,LAO,2020,95.364044
57,Latvia,LVA,2020,73.28339
58,Lebanon,LBN,2020,60.212986
59,Low-income countries,,2020,77.10451
60,Lower-middle-income countries,,2020,81.32298
61,Malaysia,MYS,2020,82.908806
62,Mali,MLI,2020,82.08106
63,Malta,MLT,2020,82.68385
64,Mauritius,MUS,2020,86.92501
65,Mexico,MEX,2020,78.055336
66,Moldova,MDA,2020,84.50433
67,Mongolia,MNG,2020,79.32224
68,Morocco,MAR,2020,73.616425
69,Myanmar,MMR,2020,73.42707
70,Nepal,NPL,2020,83.74065
71,Netherlands,NLD,2020,82.921455
72,New Zealand,NZL,2020,75.589424
73,Nicaragua,NIC,2020,85.740456
74,Nigeria,NGA,2020,81.09143
75,North America,,2020,80.36922
76,North Macedonia,MKD,2020,84.93578
77,Norway,NOR,2020,75.18707
78,Oceania,,2020,82.779366
79,Paraguay,PRY,2020,76.89931
80,Peru,PER,2020,84.922966
81,Philippines,PHL,2020,94.9963
82,Poland,POL,2020,84.898705
83,Portugal,PRT,2020,78.639946
84,Romania,ROU,2020,83.580925
85,Russia,RUS,2020,72.52477
86,Saudi Arabia,SAU,2020,68.85982
87,Senegal,SEN,2020,73.58441
88,Slovakia,SVK,2020,84.32788
89,South Africa,ZAF,2020,83.09552
90,South America,,2020,77.21828
91,South Korea,KOR,2020,58.99228
92,Spain,ESP,2020,87.31633
93,Sri Lanka,LKA,2020,84.744804
94,Sweden,SWE,2020,90.40839
95,Switzerland,CHE,2020,75.75294
96,Tanzania,TZA,2020,80.421844
97,Thailand,THA,2020,81.801636
98,Tunisia,TUN,2020,67.43499
99,Turkey,TUR,2020,74.642845
100,Uganda,UGA,2020,81.37971
101,Ukraine,UKR,2020,68.07142
102,United Arab Emirates,ARE,2020,79.77137
103,United Kingdom,GBR,2020,72.84443
104,United States,USA,2020,80.09102
105,Upper-middle-income countries,,2020,72.22729
106,Uruguay,URY,2020,80.10275
107,Uzbekistan,UZB,2020,71.34779
108,Venezuela,VEN,2020,87.47985
109,Vietnam,VNM,2020,87.42293
110,World,OWID_WRL,2020,78.01984
111,Zambia,ZMB,2020,85.21131
112,Zimbabwe,ZWE,2020,93.6826
